,Slice,R1,R2,R3,P,R,Y,SEuc,MEuc
0,1,-2.43517482631393,-0.885964502202998,-0.143636095507635,-151.94127943902,-15.8814804655176,35.9924328165611,16.7628891015106,2.79381485025176
0,2,-2.50301744653556,-0.835560475894009,0.041617647124534,-151.980705970953,-7.1466520150601,35.1349032571403,14.0007416494878,2.33345694158129
0,3,-2.55131507623306,-0.780454944055347,-0.039493816398483,-154.327364201782,-9.21088546093204,31.9149595788778,15.0061536268903,2.50102560448171
0,4,-2.53077264165986,-0.795939707135956,0.05622142603621,-152.511237848546,-5.88794737671489,33.4758536443855,14.6911371642737,2.44852286071229
0,5,-2.53662660711086,-0.773933912905633,-0.010491031595112,-153.109702982999,-8.29873049867216,31.9470482303045,13.8647340717979,2.31078901196632
0,6,-2.57147181309816,-0.772285306649819,0.052908010600885,-154.257151248676,-5.2137395118064,32.2408318981659,16.1669265762044,2.69448776270073
0,7,-2.58074174071425,-0.745881179397731,-0.018361851781979,-155.00416551314,-7.73087512067441,30.524431116591,15.6726592045401,2.61210986742335
0,8,-2.57880711545232,-0.695872192712133,0.103987485679644,-152.915628134135,-2.66750880706679,29.5597465246577,15.7983289654976,2.63305482758293
0,9,-2.62482514607543,-0.646143196540531,0.036332904566781,-155.21009399259,-4.38977488992635,26.6934366415538,14.2649533968049,2.37749223280081
0,10,-2.61779770580423,-0.636703300943165,0.023451385057048,-154.797090745846,-4.94219314191312,26.234710614311,13.5780054525762,2.26300090876271
0,11,-2.58453927836959,-0.675643166439989,0.079603584078961,-153.116825951194,-3.42674034757598,28.4812781372028,12.7758325051219,2.12930541752031
0,12,-2.61210951513056,-0.633768452345196,0.048823489193093,-154.235993220727,-3.99799427993932,26.3612467118473,13.9383913785747,2.32306522976245
0,13,-2.59871375694975,-0.645924832215991,0.155010234102166,-152.87560590191,-0.033518680286726,27.9085676115206,12.850015456452,2.141669242742
0,14,-2.60193035832853,-0.712527516089367,0.239020809470333,-153.368070168016,2.93939597097877,31.32534885419,13.5192404838603,2.25320674731005
0,15,-2.61626646668392,-0.630701709215275,0.091062831816127,-154.088266181148,-2.24504765816054,26.5907537206675,12.2076744252249,2.03461240420414
0,16,-2.56813833149413,-0.693263773569725,0.22498578057812,-151.373633237538,2.01756518672361,30.7284099982318,12.4057904639292,2.06763174398821
0,17,-2.57357902023026,-0.637378983022748,0.181835299728831,-151.208447239969,0.762030486652933,28.0158448692064,12.2339695454127,2.03899492423545
0,18,-2.57477057556832,-0.631729039225408,0.174749644260065,-151.246574031759,0.535658750524635,27.7081180417561,12.1540993805924,2.02568323009874
0,19,-2.60970298844211,-0.67189597399344,0.194643760951336,-153.545042158379,1.52877341993191,29.235071772019,13.2170546496726,2.20284244161211
0,20,-2.57825326261485,-0.698814024449485,0.293800027433892,-151.534302229723,4.87875414715335,31.5685664625048,12.7848171257965,2.13080285429942
0,21,-2.61187701747349,-0.694552126195581,0.263454200040004,-153.501462241485,4.16141772121872,30.7632464034671,11.4390452602221,1.90650754337035
0,22,-2.5749098207297,-0.681334233142388,0.274443274908097,-151.248561085567,4.17707018033928,30.7132114863629,13.0043303143838,2.16738838573063
0,23,-2.57947030523246,-0.618350992017494,0.214599055270883,-151.075312057738,2.29838973774358,27.554008947045,14.5076952762153,2.41794921270256
0,24,-2.62992341623047,-0.623615710325476,0.145258626997174,-154.348902755712,0.136055190752971,26.7105295833796,12.5180415684132,2.08634026140221
0,25,-2.62264901527405,-0.680713071202808,0.236980372377753,-154.079681718989,3.33808456692644,29.8687299732441,13.7534667622104,2.2922444603684
0,26,-2.63939209672067,-0.669637077608033,0.206167424721556,-155.050537208521,2.40407871567635,29.0040703951977,13.8313313757967,2.30522189596611
0,27,-2.66979620094041,-0.68503478931571,0.091679426266356,-157.754109773771,-1.77558628094175,28.4326623349543,15.7552649742598,2.62587749570996
0,28,-2.67740100319908,-0.691681198354025,0.076430681479847,-158.387002722445,-2.2932948410193,28.5324450815814,17.2064488580793,2.86774147634655
0,29,-2.67255962054123,-0.709580384217854,0.111601091008055,-158.098167180031,-1.0615026851205,29.5332194153089,16.354327357363,2.72572122622717
0,30,-2.70177120858897,-0.743622160660029,0.128638169081466,-160.028312810381,-0.094327896216088,30.7609345479232,16.4713505501784,2.7452250916964
0,31,-2.70220383951446,-0.749497406021275,0.143048016371796,-160.019694073917,0.453516713653916,31.084217183597,16.1767072277052,2.69611787128419
0,32,-2.60194796657071,-0.645605901667772,0.209837319945498,-152.676303687139,2.20256910230225,28.405513342749,14.5984776462441,2.43307960770735
0,33,-2.60209859666038,-0.625520909636263,0.202867463585317,-152.475622049029,2.06527806234494,27.5397081353838,14.7113124861725,2.45188541436209
0,34,-2.59494483800181,-0.631204467218595,0.248957495086689,-151.872295087111,3.78078252351897,28.2901376405794,14.114295617692,2.35238260294866
0,35,-2.59387636500193,-0.649394397577634,0.225646930514829,-152.182661596058,2.70225812404462,28.7802487109793,14.4156256148545,2.40260426914241
0,36,-2.58951036362003,-0.647957550400026,0.240502079001906,-151.832423296188,3.24992042109442,28.9121914669054,12.8862717343682,2.14771195572803
0,37,-2.59492865306033,-0.665601388626433,0.270433025754658,-152.164363324027,4.39803536366775,29.8628869920755,12.2677752693863,2.04462921156439
0,38,-2.62247444257074,-0.631744366400378,0.218144151435661,-153.572799982609,2.89472361288547,27.768373300227,13.4127185932259,2.23545309887098
0,39,-2.64210839636248,-0.594368621478077,0.277156144702775,-153.903550754923,5.74912856412161,26.6898482961374,13.5090122383518,2.25150203972531
0,40,-2.53373120190236,-0.672514960207836,0.392743496355521,-148.193381366011,8.44908275335071,32.141255959236,12.8946710808067,2.14911184680111
0,41,-2.53414485945579,-0.676875813752012,0.413037152281999,-148.158296545172,9.23967901170824,32.5503171828482,11.6506419845721,1.94177366409536
