 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
80,JKR,80,433.167,297.833,398.833,280.833,418.167,255.167,-1,-1,-1,-1,-1,-1,386.167,233.5,374.5,231.167,396.5,246.5
81,JKR,81,433.167,288.167,398.833,274.167,415.833,246.833,-1,-1,-1,-1,-1,-1,381.5,227.833,369.5,226.167,392.5,239.167
82,JKR,82,430.833,293.5,398.5,279.5,414.833,251.167,-1,-1,-1,-1,-1,-1,385.167,234.167,372.833,233.5,393.167,246.167
83,JKR,83,427.833,299.167,397.167,281.833,415.833,255.833,-1,-1,-1,-1,-1,-1,386.833,237.167,375.167,234.833,395.833,249.833
84,JKR,84,429.167,300.167,398.5,281.833,417.167,256.5,-1,-1,-1,-1,-1,-1,388.5,237.833,376.5,235.5,395.833,249.5
85,JKR,85,431.5,298.167,398.5,280.5,417.5,254.167,-1,-1,-1,-1,-1,-1,387.5,234.5,373.833,232.167,396.833,247.833
86,JKR,86,430.5,296.833,397.833,279.5,417.833,253.167,-1,-1,-1,-1,-1,-1,385.833,232.5,372.833,231.167,395.833,245.5
87,JKR,87,426.5,297.5,394.833,278.833,414.833,253.833,-1,-1,-1,-1,-1,-1,386.5,233.5,373.833,230.833,395.167,246.5
88,JKR,88,427.833,305.167,394.5,284.5,417.833,260.5,-1,-1,-1,-1,-1,-1,387.833,238.833,375.833,236.167,395.5,252.167
89,JKR,89,429.833,307.167,398.833,286.833,420.167,262.5,-1,-1,-1,-1,-1,-1,390.5,241.167,377.167,238.5,397.167,255.5
90,JKR,90,430.5,306.5,399.5,286.5,420.833,261.167,-1,-1,-1,-1,-1,-1,390.5,241.167,377.5,236.833,397.833,253.167
91,JKR,91,429.5,306.5,397.5,285.5,419.833,261.833,-1,-1,-1,-1,-1,-1,390.833,240.167,378.833,236.833,397.5,251.5
92,JKR,92,428.833,304.5,397.5,284.833,418.167,258.833,-1,-1,-1,-1,-1,-1,389.833,238.5,377.833,234.167,396.833,250.167
93,JKR,93,427.5,303.167,396.5,283.5,417.833,259.167,-1,-1,-1,-1,-1,-1,389.167,236.833,376.833,233.167,396.833,250.167
94,JKR,94,422.167,312.167,394.167,290.167,416.833,265.833,-1,-1,-1,-1,-1,-1,392.5,243.833,381.5,237.5,397.833,255.167
95,JKR,95,420.833,311.5,393.5,288.833,415.833,266.167,-1,-1,-1,-1,-1,-1,392.167,243.5,382.167,236.833,397.833,255.833
96,JKR,96,427.167,304.5,395.5,285.5,416.833,259.5,-1,-1,-1,-1,-1,-1,389.833,239.5,378.5,236.167,395.833,250.5
97,JKR,97,427.167,303.167,396.167,284.5,416.5,259.5,-1,-1,-1,-1,-1,-1,389.167,239.167,377.833,234.833,395.167,250.5
98,JKR,98,427.167,299.5,394.833,282.167,413.833,256.167,-1,-1,-1,-1,-1,-1,386.5,236.833,374.833,233.5,393.833,248.5
99,JKR,99,427.833,299.5,397.167,281.5,414.833,255.167,-1,-1,-1,-1,-1,-1,386.5,236.167,373.5,233.833,393.833,248.167
100,JKR,100,427.833,298.167,395.833,280.5,415.833,254.167,-1,-1,-1,-1,-1,-1,385.833,235.167,374.167,232.833,394.167,246.5
101,JKR,101,428.5,295.167,395.5,276.833,416.167,250.833,-1,-1,-1,-1,-1,-1,386.5,232.833,374.167,230.167,394.5,244.833
102,JKR,102,428.5,294.5,395.5,277.5,416.833,250.833,-1,-1,-1,-1,-1,-1,386.5,232.5,374.5,229.833,394.167,243.5
103,JKR,103,429.167,295.167,397.167,277.833,417.167,251.167,-1,-1,-1,-1,-1,-1,387.167,231.833,374.5,229.833,394.833,243.167
104,JKR,104,426.167,298.167,395.5,278.5,415.833,252.833,-1,-1,-1,-1,-1,-1,387.833,232.167,374.833,229.167,394.833,244.833
105,JKR,105,424.833,296.5,394.5,277.167,414.167,251.167,-1,-1,-1,-1,-1,-1,386.5,230.5,374.833,228.167,393.833,242.833
106,JKR,106,424.833,296.833,393.5,277.167,413.167,250.5,-1,-1,-1,-1,-1,-1,386.5,229.833,374.833,226.833,394.167,243.5
107,JKR,107,422.833,298.5,391.833,279.167,412.5,252.5,-1,-1,-1,-1,-1,-1,384.833,231.167,373.5,226.833,393.167,243.167
108,JKR,108,422.5,298.833,391.833,277.833,413.5,253.167,-1,-1,-1,-1,-1,-1,384.5,230.833,373.167,226.833,392.833,244.167
109,JKR,109,423.167,299.167,391.833,279.167,413.833,254.5,-1,-1,-1,-1,-1,-1,385.167,230.833,373.167,227.5,392.833,244.167
110,JKR,110,422.5,299.167,391.833,279.167,414.5,255.167,-1,-1,-1,-1,-1,-1,384.167,231.5,372.5,228.167,393.5,243.833
111,JKR,111,420.167,316.5,390.833,292.167,416.5,271.167,-1,-1,-1,-1,-1,-1,388.167,243.167,376.5,238.167,395.5,256.167
112,JKR,112,421.167,316.167,392.5,291.833,418.5,270.833,-1,-1,-1,-1,-1,-1,389.5,243.167,376.833,238.5,396.5,255.833
113,JKR,113,421.833,314.833,391.833,291.5,418.5,269.5,-1,-1,-1,-1,-1,-1,389.833,242.833,378.167,237.5,396.5,256.5
114,JKR,114,420.833,314.5,392.5,290.833,417.167,268.5,-1,-1,-1,-1,-1,-1,389.167,242.5,378.5,236.833,396.5,254.833
115,JKR,115,412.167,334.167,387.167,305.833,415.5,286.833,-1,-1,-1,-1,-1,-1,390.833,258.167,379.833,250.167,395.833,271.5
116,JKR,116,406.833,375.167,385.833,341.5,418.833,326.833,-1,-1,-1,-1,-1,-1,386.167,291.167,375.167,280.5,391.5,305.167
117,JKR,117,422.167,363.833,397.167,334.833,426.833,314.833,-1,-1,-1,-1,-1,-1,383.167,283.167,370.833,274.833,391.833,296.5
118,JKR,118,437.167,343.5,409.167,319.5,434.167,295.167,-1,-1,-1,-1,-1,-1,385.5,269.167,371.5,264.167,396.833,281.833
