,Slice,R1,R2,R3,P,R,Y,SEuc,MEuc
0,1,-2.5161309721648,0.334927446305149,-1.36550343797479,-147.694720121938,-51.5836879573086,-31.099336908637,7.20802979623783,1.44160595924757
0,2,-2.25285100134659,0.283107141112285,-1.36848654742698,-127.054323112493,-50.8313122745404,-40.9512078245656,10.2390811130726,2.04781622261452
0,3,-2.48899736366054,0.297166888481122,-1.26123543262409,-145.108993602509,-47.7529216685595,-29.4553351813636,5.48948516053309,1.09789703210662
0,4,-2.11109349570345,0.23455654648614,-1.39643643013931,-116.077313681468,-51.3334772875791,-46.0607091882375,12.0348017981573,2.40696035963147
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,8,-2.60272160095628,0.296913777019923,-1.18207331198255,-152.934569839672,-44.780570556125,-24.341382910137,5.73197424429229,1.14639484885846
0,9,-1.65693642273628,0.211773736693378,-1.33150545671883,-85.353903505698,-41.2072146410655,-58.9322940616087,19.9950604487755,3.9990120897551
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,11,3.02729385795426,-0.113245088132855,0.467078142772955,176.141316709176,-17.6602568699386,-3.68499142989501,28.5709403109135,5.71418806218271
0,12,2.81735373317527,-0.17448909842952,0.345545320340862,163.417581564198,-14.6821667169392,-4.93689536568328,30.6928988282438,6.13857976564877
0,13,-1.98874566600335,0.245596927593655,-1.43167897170856,-106.205510337659,-50.5515914251846,-53.117633069661,11.7877061815048,2.35754123630097
0,14,-2.15426390643453,0.259164049001529,-1.40219512223905,-119.256175978573,-51.5704442995606,-45.335008953089,9.75418708317504,1.95083741663501
0,15,-2.41857085802745,0.295951897527733,-1.29645453898065,-139.893186481888,-48.9109616108178,-32.8041742150328,6.16383944256695,1.23276788851339
0,16,-2.29821367589451,0.264254485057503,-1.40733464297538,-130.852385612119,-53.1643307367254,-38.8946429469447,8.60041371514309,1.72008274302862
0,17,3.03958989870974,-0.142018984051963,0.329256444510452,175.869374830791,-12.5371723385198,-4.89625160924046,23.9750768784308,4.79501537568616
0,18,3.0038831113506,-0.280965151757082,0.796759125752828,-178.313051306461,-29.567575713701,-11.1323419108545,15.8615356549076,3.17230713098152
0,19,2.96886715925868,-0.192084160134582,0.416202028934754,172.944293188383,-16.3392090606211,-6.3895171471541,27.9053450067861,5.58106900135722
0,20,-1.93087174961648,0.41779290346019,-1.66692883878414,-97.7585562276853,-53.6383450374272,-72.0465994328262,11.6704375938358,2.33408751876717
0,21,-1.88865455451423,0.404193618607544,-1.70318126601482,-93.6410830005436,-54.1122984361713,-75.3754705615236,12.0157393515482,2.40314787030963
0,22,-1.9507970857169,0.437200834808629,-1.67176107761627,-99.2287364211445,-53.8574423094595,-72.0012693605146,7.90373022659682,1.58074604531936
0,23,-1.94735268943761,0.388526808358826,-1.63756902884746,-99.4375179824696,-53.7112028276639,-69.0182228420434,12.2046264273781,2.44092528547562
0,24,-2.12403931647288,0.423238358131741,-1.53578248754514,-114.842757305109,-52.8697307690799,-57.7872594916775,7.20242655603725,1.44048531120745
0,25,-1.86400351061714,0.348867206111597,-2.22522472898582,-62.0296252607962,-68.9426948157568,-118.783935641042,22.1801699119229,3.69669498532048
0,26,-1.82285328059873,0.36261925451929,-2.18901635510955,-63.6656533055592,-66.4315033315033,-115.551442834826,20.4779972907542,3.41299954845903
0,27,-1.69638462814736,0.308185936643343,-2.27554197448674,-49.6970585469176,-63.8123264797131,-127.308886321778,23.6114374966093,3.93523958276822
0,28,-2.31337509195433,0.431305398911076,-1.42184337318589,-130.607637832321,-51.010395528155,-45.870846417227,37.0411561455994,7.40823122911988
0,29,-2.77993301972687,0.370245844592395,-0.763002032274022,-160.951518787613,-27.7491381047454,-19.9187609647271,20.9183881160699,4.18367762321398
0,30,-2.25561644999504,0.435227455594071,-1.46762783413639,-125.816279275882,-52.0528879961465,-49.8921971363887,5.94777882632022,1.18955576526404
0,31,-2.1545628389833,0.400067869449799,-1.49469574174636,-117.755922852555,-52.2686053048966,-54.0398425605849,5.15602890492518,1.03120578098504
0,32,-2.03944736109035,0.371553643621897,-1.53697880762817,-108.323342033565,-52.4321956185023,-59.8048826369717,7.59332420231879,1.51866484046376
0,33,-2.01180432933616,0.340788258337648,-1.62717428352285,-104.286739265028,-55.9604179545318,-64.1034357113478,7.11453453136303,1.42290690627261
0,34,-2.11413664959708,0.373472853158226,-1.60462378949733,-112.994859203178,-56.4142855867476,-59.1303289599089,8.07985410164489,1.61597082032898
0,35,-2.25325748774816,0.418124506592225,-1.55674916338784,-125.056581745142,-55.9111368548097,-51.8775747072619,5.91738829762928,1.18347765952586
0,36,-2.97373983353519,0.484648695803537,-0.824894438938651,-173.448391806574,-29.9970892871196,-20.2700256669217,23.4257447601742,4.68514895203485
0,37,-2.14715753187479,0.401694202177935,-1.56586225316572,-116.245690832547,-54.9064145770793,-57.0034035646815,5.19571655371068,1.03914331074214
0,38,3.02008329327594,-0.426002135577249,0.619628942448036,-178.378287174599,-22.9740569712375,-16.3875131384498,26.6233771384605,5.3246754276921
0,39,-2.17691934070808,0.45273933217522,-1.61931062376549,-117.822514037629,-56.5060880864987,-59.4046108272827,6.03796157314475,1.20759231462895
0,40,-2.10712613942967,0.431529388035863,-1.57064729467815,-113.007290287363,-53.729538504814,-60.2137233541234,7.9146966797792,1.58293933595584
0,41,-2.01636606785694,0.405211634891716,-1.65886687756933,-104.154767712377,-55.7168580092877,-67.4890636850434,6.77135272099733,1.35427054419947
0,42,-2.86650030570127,0.367193812492605,-0.787801767130883,-166.558314095268,-28.8706546301566,-18.0744409406066,24.6944344424733,4.93888688849466
0,43,-2.08400748595426,0.434953441066129,-1.57454449499628,-111.175680185987,-53.3484186527344,-61.5593434787875,7.58979045524387,1.51795809104877
0,44,-2.05169018795073,0.434381077776073,-1.60382206823184,-108.179024133199,-53.7986270392786,-64.2523134368122,7.62324855103548,1.5246497102071
0,45,-2.55968821645995,0.474200296391816,-0.880360696634831,-147.450690762317,-30.5184724516619,-30.0980669673088,17.5871131402089,3.51742262804178
0,46,-2.08077069032597,0.435638258206833,-1.6079237242969,-110.321239420312,-54.5418919996443,-63.1262262051673,6.60225226883828,1.32045045376766
0,47,-2.0061387062114,0.429306129674366,-1.58069642833456,-105.260780494668,-52.0464562016843,-65.0560826889932,8.23146993008936,1.64629398601787
0,48,-2.07269119906927,0.466006791496503,-1.48272458042996,-111.932023234451,-48.9279307690852,-59.5038603206835,8.10177817268027,1.62035563453605
0,49,2.88777810769245,-0.188229822821674,0.752063840458726,172.451048209243,-29.5092355523903,-5.46789863880016,50.1858851591764,10.0371770318353
0,50,-2.01960316232233,0.43822287403294,-1.47869482166957,-108.136882223352,-48.2980235483618,-60.4857792149107,8.60249754536858,1.72049950907372
0,51,-2.09051246069871,0.424928897092061,-1.56553255597213,-111.804820854485,-53.3473837549051,-60.5458640859247,8.50911390360909,1.70182278072182
0,52,-1.65354426272975,0.450004925900325,-2.39958942791099,-46.9115474533681,-61.0417961293383,-137.742557900433,23.1580546460658,3.8596757743443
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,54,-2.71869676424618,0.543486748115883,-0.885783450200318,-157.589906342524,-31.2139935719027,-28.9441730206944,22.9708057614583,4.59416115229165
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,61,1.18039623467852,0.113381545390592,-2.50493333322715,7.28628085031326,49.34468404626,-153.244180998738,34.412126399985,5.7353543999975
0,62,-1.53696569900854,0.815519086107897,-2.33619647064689,-62.2812754871685,-50.5213478131788,-131.877657067676,43.4724382463205,6.21034832090293
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,65,-0.974726204902921,0.404022272332272,2.47275442907319,8.34473028097252,44.3527634339232,155.265830394465,48.4719638795929,8.07866064659882
0,66,-1.15260059882834,-0.395484456634287,-2.59413683135944,11.8742461247146,-48.7463144523277,-167.978974451131,105.8894803727,21.1778960745399
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,72,-1.4054138857533,0.311930074862858,2.70050595338371,14.3018917765434,54.8309925535607,-177.833114723814,52.0391438781851,8.67319064636418
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,76,-2.96480456604366,0.056352288136839,-0.248653686417309,-170.219568253005,-9.33676742195502,-2.97838579285944,82.9564251151973,13.8260708525329
0,77,-2.3406065785867,0.655593672698967,-1.18385032731352,-133.492635630393,-38.2826314802245,-48.2606391110902,170.700529640191,24.3857899485987
0,78,-1.71447000736254,0.449631282106623,-2.4588545927719,-43.5321822935915,-63.9653194406684,-144.199176967379,42.8416222191287,6.12023174558982
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,93,-0.628677582645233,0.632662477509208,-2.72236712624694,-30.2208724823285,-20.4132986284288,-157.753163478782,34.6999518326018,6.93999036652035
0,94,-1.8984594072004,-0.610484805054917,1.9550436401921,-88.8204861305778,58.0370461496245,94.6955406967311,3.46395904333312,0.86598976083328
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
