 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
1,JKR,1,246.5,302,-1,-1,268.5,255,326.5,232,339.5,233.5,309,244,-1,-1,-1,-1,-1,-1
2,JKR,2,246.167,303.167,-1,-1,269.5,253.833,326.5,231.5,340.833,232.833,309.5,243.833,-1,-1,-1,-1,-1,-1
3,JKR,3,246.5,301.5,-1,-1,268.5,252.5,325.833,232.5,341.167,232.5,310.167,244.167,-1,-1,-1,-1,-1,-1
4,JKR,4,244.167,302.5,-1,-1,268.5,253.167,325.5,233.167,340.167,234.167,308.833,244.833,-1,-1,-1,-1,-1,-1
5,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,JKR,8,247.5,301.5,-1,-1,270.5,255.5,326.5,233.833,342.167,234.833,309.833,245.833,-1,-1,-1,-1,-1,-1
9,JKR,9,247.167,302.5,-1,-1,270.833,254.5,326.833,234.5,341.167,234.833,310.5,245.833,-1,-1,-1,-1,-1,-1
10,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,JKR,11,247.5,305.833,-1,-1,269.5,256.5,325.833,235.5,340.5,236.833,310.833,248.167,-1,-1,-1,-1,-1,-1
12,JKR,12,249.167,302.5,-1,-1,270.5,256.5,327.167,234.5,341.167,236.833,311.833,247.833,-1,-1,-1,-1,-1,-1
13,JKR,13,250.833,303.833,-1,-1,273.833,255.833,327.833,235.5,340.833,235.167,312.5,247.833,-1,-1,-1,-1,-1,-1
14,JKR,14,249.5,304.5,-1,-1,272.167,255.5,327.5,235.833,340.833,236.167,312.5,247.5,-1,-1,-1,-1,-1,-1
15,JKR,15,249.833,303.5,-1,-1,271.5,257.167,328.167,235.833,341.167,235.833,311.833,248.5,-1,-1,-1,-1,-1,-1
16,JKR,16,248.167,303.833,-1,-1,271.167,256.167,327.5,236.5,340.833,237.5,311.833,247.167,-1,-1,-1,-1,-1,-1
17,JKR,17,247.167,302.5,-1,-1,271.5,257.5,325.833,235.833,341.5,236.833,311.167,247.833,-1,-1,-1,-1,-1,-1
18,JKR,18,247.167,302.833,-1,-1,271.833,256.167,325.5,235.5,340.833,235.5,310.167,249.167,-1,-1,-1,-1,-1,-1
19,JKR,19,257.5,305.5,-1,-1,277.167,260.167,329.167,234.167,342.5,233.833,315.833,248.167,-1,-1,-1,-1,-1,-1
20,JKR,20,281.167,314.833,-1,-1,293.5,261.833,339.833,236.5,349.5,236.5,328.167,250.5,-1,-1,-1,-1,-1,-1
21,JKR,21,281.833,314.833,-1,-1,294.833,261.5,341.167,235.833,349.833,236.167,329.167,250.167,-1,-1,-1,-1,-1,-1
22,JKR,22,282.5,314.833,-1,-1,293.167,261.5,340.833,236.5,348.833,234.833,329.833,250.167,-1,-1,-1,-1,-1,-1
23,JKR,23,278.5,312.833,-1,-1,293.167,261.167,340.5,236.167,350.167,236.5,328.5,249.5,-1,-1,-1,-1,-1,-1
24,JKR,24,276.833,311.833,-1,-1,289.833,261.167,339.5,236.833,349.5,236.167,326.833,249.833,-1,-1,-1,-1,-1,-1
25,JKR,25,299.167,309.167,-1,-1,306.5,257.833,349.5,234.167,353.833,235.5,339.167,247.833,-1,-1,-1,-1,279.167,245.5
26,JKR,26,300.167,311.167,-1,-1,306.5,258.833,350.5,235.5,354.5,235.167,339.5,247.833,-1,-1,-1,-1,281.5,245.167
