 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
142,JKR,142,120.167,315.833,-1,-1,138.833,265.5,194.167,247.833,207.833,246.5,174.5,261.167,-1,-1,-1,-1,-1,-1
143,JKR,143,130.167,318.5,-1,-1,146.5,267.167,198.833,247.833,211.5,244.833,181.5,262.5,-1,-1,-1,-1,-1,-1
144,JKR,144,131.167,317.167,-1,-1,147.167,267.5,200.167,244.833,214.5,243.833,181.833,258.833,-1,-1,-1,-1,125.5,314.167
145,JKR,145,125.5,314.167,-1,-1,142.5,261.833,194.167,241.167,208.167,239.833,176.167,254.5,-1,-1,-1,-1,-1,-1
146,JKR,146,82.167,268.167,120.5,262.833,118.5,223.833,163.833,225.5,182.833,231.833,140.167,231.833,-1,-1,-1,-1,-1,-1
147,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,JKR,177,347,210,-1,-1,353,167,355,156,361,156,355,163,-1,-1,-1,-1,-1,-1
178,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,JKR,187,399,218,379,218,382,188,-1,-1,-1,-1,-1,-1,363,190,352,194,375,199
188,JKR,188,383,222,-1,-1,372,195,-1,-1,-1,-1,-1,-1,361,190,352,197,369,200
189,JKR,189,383,225,-1,-1,372,195,-1,-1,-1,-1,-1,-1,361,191,355,194,371,197
190,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,JKR,191,400.5,206,378,209.5,375,179,361,189,352,196.5,371.5,188.5,406.5,217.5,383,217.5,383.5,184.5
192,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,JKR,197,406.5,217.5,383,217.5,383.5,184.5,-1,-1,-1,-1,-1,-1,370,186,359.5,190,380,190.5
198,JKR,198,423.5,235,393,229.5,399,197,-1,-1,-1,-1,-1,-1,378,195.5,364.5,198.5,392,203
199,JKR,199,397,238.5,380,234,385,203.5,-1,-1,-1,-1,-1,-1,378,200,369.5,204,383.5,207
200,JKR,200,398.5,236,379.5,231,384,201.5,-1,-1,-1,-1,-1,-1,376.5,198.5,367,200.5,383.5,204.5
201,JKR,201,398,235.5,380,230,383.5,201.5,-1,-1,-1,-1,-1,-1,376.5,197.5,367,200.5,383,202.5
202,JKR,202,386.5,233.5,-1,-1,377.5,202.5,-1,-1,-1,-1,-1,-1,372,198,364.5,202.5,376.5,204.5
203,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,JKR,204,387,237,-1,-1,374,205,-1,-1,-1,-1,-1,-1,366,202,358,206.5,372.5,207.5
205,JKR,205,399,236,378,233,377.5,201,-1,-1,-1,-1,-1,-1,366.5,200.5,357,204.5,377,204.5
206,JKR,206,412.5,230,385,230.5,385,199.5,-1,-1,-1,-1,-1,-1,364.5,201,352.5,207.5,376.5,206
207,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,JKR,208,388,244,-1,-1,374,211,-1,-1,-1,-1,-1,-1,366.5,206.5,358,210,372.5,211
209,JKR,209,396.5,247,377.5,244,380.5,212.5,-1,-1,-1,-1,-1,-1,370.5,212,360.5,216.5,378.5,218
210,JKR,210,385,249.5,-1,-1,378,218,-1,-1,-1,-1,-1,-1,375.5,213.5,368,219,377,219
211,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,JKR,212,392,249.5,375,246,375,216.5,-1,-1,-1,-1,-1,-1,367.5,210,359.5,215,374,216.5
213,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,JKR,214,388.5,240.5,375,241.5,374,213.5,-1,-1,-1,-1,-1,-1,368.5,215.5,360.5,222.5,373,217
215,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,JKR,216,410,224,386,224,386.5,191,-1,-1,-1,-1,-1,-1,374,192.5,365.5,198.5,383.5,196.5
217,JKR,217,425.5,229.5,396.5,227.5,399,194.5,-1,-1,-1,-1,-1,-1,373,196.5,361,200.5,389.5,202
218,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,JKR,219,409,246,386,241.5,386.5,209,-1,-1,-1,-1,-1,-1,376.5,205,368,208,385,212.5
220,JKR,220,419,252,391.5,247.5,399,213.5,-1,-1,-1,-1,-1,-1,381,212,369.5,214.5,392,218.5
221,JKR,221,428.5,255.5,400.5,247,412,218.5,-1,-1,-1,-1,-1,-1,388.5,216,373.5,218.5,401,224.5
222,JKR,222,402,240,384.5,238,388,208,-1,-1,-1,-1,-1,-1,380,210,372.5,215.5,386.5,215
223,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,JKR,226,370.5,190,359,207,341.5,183,-1,-1,-1,-1,-1,-1,339.5,200,337.5,213.5,344,194
227,JKR,227,354,172,345.5,195.5,328.5,176,-1,-1,-1,-1,-1,-1,333.5,199.5,335.5,213,337,192
228,JKR,228,314.5,162.5,-1,-1,312.5,180,280.5,212,-1,-1,-1,-1,344,207,-1,-1,-1,-1
229,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,JKR,234,385.5,238.5,370,242,368,213.5,364,220.5,360,227.5,367.5,221,429.5,218.5,404,235.5,397.5,201.5
235,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,JKR,239,429.5,218.5,404,235.5,397.5,201.5,-1,-1,-1,-1,-1,-1,382,226,376.5,236.5,393.5,222
240,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,JKR,241,380,208,365.5,218.5,353,190,-1,-1,-1,-1,-1,-1,349.5,203,345.5,212,354.5,197.5
242,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,JKR,243,374.5,173.5,362,193.5,348.5,171,-1,-1,-1,-1,-1,-1,349.5,194.5,349.5,209,352.5,185.5
244,JKR,244,461,266,425,254.5,439.5,223,-1,-1,-1,-1,-1,-1,407,210.5,392.5,212,423,222.5
245,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,JKR,254,499.5,349,477,333,492,305,-1,-1,-1,-1,-1,-1,482.5,290,473.5,286,485.5,304.5
255,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,JKR,256,457,190,433.5,193,433,161,-1,-1,-1,-1,-1,-1,416.5,169.5,406.5,175.5,427.5,171.5
257,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,JKR,258,433,159.5,408.5,166.5,403,135.5,-1,-1,-1,-1,-1,-1,385,146.5,375,152,396.5,144
259,JKR,259,430,156.5,404.5,163.5,396.5,134,-1,-1,-1,-1,-1,-1,376,142.5,365.5,152,389.5,143.5
260,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,JKR,271,333.5,249,-1,-1,344.5,204,378,183,393.5,178.5,364.5,196,-1,-1,-1,-1,-1,-1
272,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,JKR,273,360.5,252,-1,-1,370.5,218,408,194.5,423.5,194,394.5,207.5,-1,-1,-1,-1,-1,-1
274,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,JKR,275,348,267.5,-1,-1,325,247.5,321,204,325,190,326.5,220,-1,-1,-1,-1,-1,-1
276,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,JKR,279,455,165,428.5,166,429,134,-1,-1,-1,-1,-1,-1,407,139.5,395.5,145.5,420.5,143.5
280,JKR,280,456,166.5,429,167,430.5,135,-1,-1,-1,-1,-1,-1,409,140,399.5,145,423.5,145
281,JKR,281,469.5,195.5,434.5,189,444,155.5,-1,-1,-1,-1,-1,-1,410,151.5,394.5,154,428,160.5
282,JKR,282,438.5,201,418,193.5,425.5,161.5,-1,-1,-1,-1,-1,-1,414.5,160,405,163.5,422,166.5
283,JKR,283,435,195.5,413.5,192.5,416.5,159,-1,-1,-1,-1,-1,-1,404,163,393.5,167,412.5,168
284,JKR,284,432.5,194.5,409.5,191.5,414.5,159,-1,-1,-1,-1,-1,-1,403.5,161,392,165.5,411,167
285,JKR,285,423,200,404.5,199,406,167.5,-1,-1,-1,-1,-1,-1,396.5,168.5,389,173,402.5,173.5
286,JKR,286,448,187,420,189,419,155,-1,-1,-1,-1,-1,-1,397,167.5,384,173,411.5,170
287,JKR,287,449,183.5,421.5,185,421,152,-1,-1,-1,-1,-1,-1,398.5,163.5,386,170.5,412.5,165.5
288,JKR,288,449,183,421.5,185,420,151.5,-1,-1,-1,-1,-1,-1,398.5,163.5,385.5,170.5,412,165
289,JKR,289,526.5,217.5,486.5,208,495,174.5,-1,-1,-1,-1,-1,-1,448,179,431,185,469.5,185.5
290,JKR,290,524,178.5,491,181.5,486.5,146.5,-1,-1,-1,-1,-1,-1,455.5,168,442,174,474,168
291,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,JKR,314,313.5,323.5,-1,-1,343,294,362,298.5,371.5,305.5,348.5,301,-1,-1,-1,-1,-1,-1
315,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,JKR,316,276.5,234.5,307.5,234.5,301.5,201.5,326.5,203,338,208.5,312,206,-1,-1,-1,-1,-1,-1
317,JKR,317,250,256.5,285.5,250.5,278.5,218.5,315,211.5,330.5,215.5,297.5,219,-1,-1,-1,-1,-1,-1
318,JKR,318,249,256,283.5,249,275.5,217,312.5,211.5,330,215,294.5,219.5,-1,-1,-1,-1,-1,-1
319,JKR,319,286,262,301,257,291,232,303,224,311,228,298,229.5,-1,-1,-1,-1,-1,-1
320,JKR,320,283,258.5,298.5,255,290.5,230,303,223,311,228,299,227.5,-1,-1,-1,-1,-1,-1
321,JKR,321,247.5,262,275.5,257.5,267.5,226.5,296,225.5,311.5,230.5,282.5,231.5,-1,-1,-1,-1,-1,-1
322,JKR,322,247,261,276,256,268.5,224,296.5,223,309,227.5,283.5,229.5,-1,-1,-1,-1,-1,-1
