,Slice,R1,R2,R3,P,R,Y,SEuc,MEuc
0,1,-2.68177916642984,-0.377640482563696,-0.23169487464397,-156.90822435893,-12.5835605782847,13.4504502450164,27.2130915698723,4.53551526164538
0,2,-2.82877460677855,0.089589798512816,-0.491608368487182,-163.285369158454,-18.8267567403814,-6.4183722620764,17.3259311683316,3.46518623366633
0,3,-2.82717036251622,0.022093148100864,-0.305464827675161,-162.548898084262,-11.9233229010307,-2.73190905096331,20.6629522028867,4.13259044057735
0,4,-2.66921463728452,0.380842614865963,-1.17001270316543,-156.851335909601,-43.5982860238926,-25.6057961403814,11.6481417531394,2.32962835062787
0,5,-2.52432265162121,0.32114951421095,-1.12292892340878,-146.530672427845,-41.9599111345183,-27.6546838175008,12.0493610252646,2.40987220505292
0,6,-1.74368135156873,0.228469093787186,-1.71939146483715,-80.7210492166932,-55.2652251941373,-78.1943555684881,19.9927929071403,3.99855858142807
0,7,-1.60215376282854,0.189953612540746,-1.71844917958508,-70.9969197889499,-52.1228091653791,-82.3979828126668,22.7480726476892,4.54961452953784
0,8,-1.41938369079797,0.143871848807821,-1.68746388766115,-60.6488983828198,-46.9511396799558,-84.7632824430922,24.8942060192193,4.97884120384387
0,9,-2.53776215768575,0.390571728130087,-0.788500524580083,-145.926709716973,-27.5451764908029,-26.0897587296036,20.6329236505584,4.12658473011168
0,10,-2.74331308361961,0.337540117610032,-1.03430739401259,-160.924215489176,-38.6115653864744,-20.7660055335765,8.41161486810958,1.68232297362192
0,11,-2.72662882726332,0.211371909108904,-0.864007671596803,-159.051417433976,-32.8362172565502,-15.1017893937786,9.05364073117859,1.81072814623572
0,12,-2.92816602134884,-0.213105405782154,-0.273489977854218,-169.590572470094,-11.3246098520461,7.29013823687759,34.1496549842513,5.69160916404188
0,13,-1.46999960348977,0.116239194568936,-1.66589998475615,-63.452595896699,-48.9622930469236,-81.7845379093867,46.7725972367748,7.7954328727958
0,14,-1.93372293163221,0.241560838313115,-1.41983037774142,-102.359789207479,-49.2180041901877,-54.7014147296711,32.361464849395,5.39357747489916
0,15,-2.84144744875472,0.068439801343849,-0.537688994184013,-164.456657226448,-20.714880292405,-5.61730987852168,15.6796262527788,3.13592525055576
0,16,-1.66466952902272,0.257129647537454,-1.58500387052744,-80.4121405116398,-48.1271298330199,-73.2578918848343,19.1265142010733,3.82530284021466
0,17,-2.82818675708884,0.245799100026797,-0.682063858683119,-163.798833869806,-25.3728159978387,-13.6045388408376,16.2636787619789,3.25273575239577
0,18,-1.45221613211394,0.216142044841239,-1.73184894764846,-62.8219074215207,-46.8216124045442,-87.6044743806568,22.127449507987,4.4254899015974
0,19,-1.42550394164776,0.209175752693261,-1.69247394520897,-62.5315292660533,-45.2205615331725,-85.5879635475502,21.4855396213987,4.29710792427973
0,20,-1.55388233960334,0.326620748848801,-1.78558022755094,-69.195763711726,-48.3683339040844,-89.872467952441,17.3087186917342,3.46174373834683
0,21,-2.74541794686914,0.425329853616961,-0.842289483238996,-159.124448998354,-30.4231881089124,-23.3480522557148,18.8968885592398,3.77937771184797
0,22,-2.61898892125944,0.334598474861067,-0.786205823057408,-151.060821152582,-28.4753999614136,-22.0536811200074,12.0819869297691,2.41639738595383
0,23,2.75179374133262,-0.256009001095588,-0.162606705710297,158.037300758877,4.53318904328524,-11.5103283605122,59.4785937894877,9.91309896491461
0,24,-2.52424598377551,0.607330834939075,-1.28150446200215,-145.895086150781,-45.1526740690138,-41.5919346607922,9.02538494595602,1.8050769891912
0,25,-2.32865790153389,0.540758418798814,-1.72727649974556,-129.701509755872,-61.793712437277,-57.5317520434763,11.0678378986302,1.84463964977169
0,26,-2.37101369281475,0.553485680276977,-1.55556185043815,-134.280563030291,-55.2680985002365,-51.1730019200811,10.0957669875626,2.01915339751251
0,27,-2.82951291995813,0.576893753949687,-0.532174611179694,-163.724264491496,-17.7930001096638,-25.6120876012221,38.0067142643716,7.60134285287433
0,28,-1.85804751367582,0.353411882845758,-1.73306624084545,-89.937754423695,-55.5422474389659,-77.1323099091413,14.2283222020568,2.84566444041135
0,29,-1.45509081577914,0.267470829946634,-1.68345975231252,-65.8342292759213,-44.1997779755176,-85.0278040091238,23.700575924344,4.7401151848688
0,30,-1.75914703233347,0.366898753343621,-1.61789385615274,-87.0673175935614,-48.6889438203492,-74.4920176685487,15.8122919611778,3.16245839223556
0,31,-1.7951228851563,0.377700953169473,-1.67577930155353,-87.8688326525297,-51.2893924199005,-76.7359076745801,14.3725895513607,2.87451791027213
0,32,-1.64737403983237,0.350477560044578,-1.66000895487049,-78.8811037984226,-47.2105141842038,-79.9795069977459,16.3216855029556,3.26433710059111
0,33,-1.54476012667539,0.310404349877657,-1.72003733245763,-70.4705002298469,-46.8111337306839,-85.7241129121179,19.0314248353198,3.80628496706396
0,34,-1.92757232627972,0.410067143616687,-1.75340212935617,-94.9111844383218,-56.729118711274,-76.7363600177581,10.0604826594916,2.01209653189833
0,35,-1.84395317176686,0.426562210623915,-1.68621596663693,-91.4325055450432,-51.7654386802377,-76.6991123177987,9.54843484813971,1.90968696962794
0,36,-2.41440897404154,0.463584805162178,-0.97042911723897,-138.262458304571,-33.1000912583196,-34.6648815550849,14.5796027981949,2.91592055963898
0,37,-2.93428369646659,-0.33441392020735,-0.140442128516772,-170.036876902567,-6.56228296542905,12.4310252478176,45.983726140894,7.66395435681566
0,38,2.37677177416659,0.204155722543258,-1.22279331267211,146.757753217418,53.1826994533376,-7.17859945619567,224.53663967994,37.4227732799901
0,39,2.98511184284794,0.03052866666784,0.515520270830301,173.07472197112,-19.4616902095184,2.36088647326864,34.703140617398,5.78385676956634
0,40,-2.81266813465917,-0.674558387384567,0.136261836539925,-165.033881080477,1.90952627405511,27.2237417928675,38.3383935276874,6.38973225461457
0,41,2.42677390465284,0.250267661598675,-0.295742404548646,141.206218627585,15.9795760729944,6.11746297464985,58.9799677711073,9.82999462851789
0,42,2.0824778723116,0.422054227491543,-0.265706970783165,123.479991565943,20.5926149990207,11.7590275987388,56.5762181025136,9.42936968375227
0,43,-2.63561952693544,0.326980410460937,-1.42978148609031,-158.761430863959,-54.2543070191964,-25.1178845147981,29.181998896747,4.86366648279117
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,45,2.96149398294708,-0.326819218077635,0.399922846530576,173.777876792024,-15.9969078110235,-11.7197903833387,29.7512974478061,5.95025948956122
0,46,-1.68487882840163,0.325810180208895,-1.73504678522532,-78.2333459583886,-51.2417591275283,-82.9493456566626,16.8405968658566,3.36811937317132
0,47,-1.72930526073578,0.364638993016289,-1.81727820418968,-78.7626076458367,-53.982008913632,-87.4511958313546,15.4585580921839,3.09171161843678
0,48,-1.404626929012,0.287172036406712,-1.77255638087504,-61.1263960148561,-44.052783879018,-91.9380694164054,19.4816493601842,3.89632987203684
0,49,2.99395820160021,-0.430252790071517,0.638444716856518,-179.446582877809,-24.0022364071148,-16.4732781155992,24.6392450191162,4.92784900382324
0,50,-1.84721461247945,0.32423286735206,-1.75521169596793,-88.0208765499446,-56.7091864079981,-78.2902991951224,28.6896083101692,5.73792166203383
0,51,-1.82505614204296,0.012420689355533,-1.92983487168679,-71.3623441563811,-69.8128822118818,-89.1371633391365,14.9857287579798,2.99714575159597
0,52,3.01152171818032,0.02178297881564,0.503988627644886,174.592836237095,-18.9239162441139,1.73066018075799,24.6360943090645,4.9272188618129
0,53,2.64345378122244,-0.105124436634868,-0.986727642732733,155.91733753028,38.7770161702387,-13.1409923030966,162.196365716804,32.4392731433609
0,54,-2.73147154387775,0.262091492646844,-1.09589617788584,-161.542515564511,-41.5508391564904,-18.0163328226864,12.4633090352235,2.49266180704469
0,55,2.59743559382095,-0.003206630182356,-0.113724225345486,148.878887923094,4.61773425607352,-1.42797830498723,48.9738996193187,9.79477992386374
0,56,-1.46464183384573,0.180720165231587,-1.71130316612759,-63.2298546603683,-47.8293915189212,-85.6054219569091,25.3066228122917,5.06132456245835
0,57,1.66485831077985,0.277436856554274,-0.856190056565651,93.5878788942802,41.5207627524416,-20.2744456781767,97.6602406263578,16.2767067710596
0,58,-1.85790571912217,0.098536112137478,-1.37235528215657,-97.6082903416188,-50.1427252333301,-50.6090153993518,36.298109102122,6.04968485035366
0,59,-2.98391757542858,-0.257577518869029,-0.148401618924438,-172.294863783389,-6.32807902249247,9.44073000499108,45.4342178646268,7.57236964410447
0,60,-2.9164619913318,-0.11396914626587,-0.810699201226787,-174.100710265274,-31.1937839421988,2.82760860571736,35.4804441998526,5.9134073666421
0,61,2.95802885743761,0.044642453054626,0.469131730233647,171.023524889955,-17.7892926666422,3.13690884502098,34.3255901922952,5.72093169871586
0,0,0.733565969167392,-1.24223566694363,-2.1117667407695,65.0227718419565,9.58826350590095,-133.867557443712,1.45854120213351E-10,1.6206013357039E-11
0,63,-2.81863021161299,0.080028116561733,-0.433405928343133,-162.405837850727,-16.6180819011076,-5.84216231212191,33.4633151903115,5.57721919838526
0,64,-1.93355523784543,0.243095815097701,-1.49197805112541,-100.990488918186,-51.8374619844989,-58.001490699707,27.5212077993892,4.58686796656486
0,65,-2.57737723790106,0.273945123917014,-1.0611192930529,-150.225901669683,-40.1332354162423,-23.2270599660309,11.3493850575277,2.26987701150555
0,66,-2.98444370399746,0.091147419211419,-0.442338018793846,-172.187626093803,-16.5579578154331,-4.63713705810102,22.0464139704514,4.40928279409028
0,67,-1.77843068734937,0.288302389550897,-1.67579498711136,-85.4668257883311,-53.2196689947666,-75.3555139969165,17.1006654256319,3.42013308512639
0,68,-2.85803405035371,0.158041169937344,-0.999162647409976,-169.964687675949,-37.8626070192674,-9.77990686324789,16.5802481738789,3.31604963477578
